,source,target
668,2878m,1956f
669,2881m,3050f
670,2889m,1082f
671,288m,652f
672,2900m,1792f
673,2901m,1879f
674,2905m,1144f
675,2908m,2410f
676,2911m,2092f
677,2917m,4399f
678,2929m,700f
679,2930m,1503f
680,2933m,2773f
681,2935m,5346f
682,2940m,6028f
683,2943m,678f
684,2947m,1153f
685,2948m,2575f
686,294m,4891f
687,2951m,3130f
688,2954m,1876f
689,2957m,1414f
690,295m,4974f
691,2964m,3888f
692,2965m,6319f
693,2972m,2986f
694,2973m,1576f
695,2974m,3967f
696,2976m,425f
697,2976m,1527f
698,2981m,2226f
699,2982m,6217f
700,2984m,4232f
701,2988m,5355f
702,2989m,3694f
703,2991m,4538f
704,2992m,867f
705,2994m,525f
706,2996m,3157f
707,2999m,2865f
708,3005m,4534f
709,3007m,204f
710,3013m,1116f
711,3013m,1215f
712,3016m,1565f
713,3019m,4134f
714,3021m,4661f
715,3022m,2541f
716,3023m,1172f
717,3027m,5281f
718,3032m,3015f
719,3033m,4157f
720,3035m,1423f
721,3036m,150f
722,303m,61f
723,3043m,3895f
724,3046m,2721f
725,3048m,1241f
726,3049m,2294f
727,3052m,3552f
728,3054m,5387f
729,3055m,1805f
730,3056m,1853f
731,306m,4924f
732,3070m,2819f
733,3072m,4591f
734,3073m,1055f
735,3076m,7497f
736,3078m,5322f
737,307m,4038f
738,3080m,4923f
739,3081m,954f
740,3083m,4753f
741,3084m,6329f
742,3086m,4676f
743,3092m,4889f
744,3095m,6026f
745,3096m,5574f
746,3098m,1061f
747,309m,5603f
748,30m,2657f
749,3100m,3305f
750,3102m,2011f
751,3105m,646f
752,3107m,3878f
753,3115m,3896f
754,3116m,2863f
755,3117m,3415f
756,3118m,1514f
757,311m,2914f
758,3122m,1556f
759,3125m,336f
760,3127m,4483f
761,3128m,15f
762,3129m,5289f
763,3131m,1442f
764,3135m,1003f
765,313m,1930f
766,313m,5797f
767,3140m,4092f
768,3141m,7414f
769,3142m,5287f
770,3146m,4546f
771,3154m,3181f
772,3155m,423f
773,3156m,3860f
774,3158m,5315f
775,315m,6129f
776,3160m,3501f
777,3162m,1283f
778,3168m,2355f
779,3170m,2496f
780,3171m,486f
781,3172m,4536f
782,3173m,243f
783,3175m,2910f
784,3185m,2873f
785,3185m,4945f
786,3187m,2672f
787,3187m,7404f
788,3188m,3163f
789,3199m,2709f
790,31m,5583f
791,3204m,2852f
792,3210m,6026f
793,3211m,4458f
794,3214m,4585f
795,3216m,1840f
796,3216m,3850f
797,321m,2740f
798,3224m,5295f
799,3225m,1446f
800,3226m,172f
801,3229m,3922f
802,3231m,1515f
803,3235m,360f
804,323m,1284f
805,3240m,5279f
806,3241m,4957f
807,3241m,5616f
808,3255m,2753f
809,325m,4146f
810,3261m,2058f
811,3266m,4369f
812,326m,3057f
813,326m,2046f
814,3270m,3613f
815,3274m,2955f
816,3274m,4784f
817,3278m,1824f
818,3280m,7590f
819,3281m,4690f
820,3281m,3099f
821,3282m,81f
822,3283m,1356f
823,3287m,2160f
824,3292m,2874f
825,3298m,1664f
826,3298m,1387f
827,3299m,3912f
828,3299m,7801f
829,329m,3719f
830,3301m,1445f
831,3302m,1021f
832,3306m,3536f
833,3306m,2952f
834,3309m,1881f
835,330m,3317f
836,3313m,2608f
837,3316m,3931f
838,3316m,3217f
839,331m,2285f
840,3321m,4161f
841,3324m,2799f
842,3326m,3749f
843,3327m,4325f
844,3328m,4900f
845,3328m,4023f
846,3329m,3774f
847,332m,1321f
848,3333m,1409f
849,3334m,2419f
850,3338m,65f
851,3339m,4833f
852,3341m,4622f
853,3347m,944f
854,3348m,3802f
855,334m,4559f
856,3355m,3011f
857,3357m,2725f
858,3358m,4931f
859,3359m,1289f
860,335m,621f
861,3368m,2691f
862,3370m,6323f
863,3375m,1496f
864,3377m,4345f
865,3379m,2975f
866,3387m,830f
867,338m,1763f
868,338m,6331f
869,3392m,4490f
870,3393m,2782f
871,3396m,4934f
872,3397m,3457f
873,33m,4895f
874,3400m,2729f
875,3402m,3607f
876,3408m,7308f
877,3413m,5020f
878,3418m,235f
879,3429m,3460f
880,3431m,2795f
881,343m,1415f
882,3440m,5569f
883,3448m,4432f
884,3451m,585f
885,3452m,4130f
886,3453m,6127f
887,3455m,561f
888,3459m,533f
889,3466m,872f
890,3468m,3980f
891,3470m,3616f
892,3471m,85f
893,3473m,5306f
894,3474m,1543f
895,3475m,4075f
896,3477m,4243f
897,3478m,2557f
898,347m,2775f
899,3486m,340f
900,3492m,62f
901,3493m,5297f
902,3498m,115f
903,34m,4039f
904,3504m,4584f
905,3506m,1301f
906,3507m,736f
907,3511m,4278f
908,3515m,1320f
909,3518m,604f
910,3520m,5344f
911,3523m,1468f
912,3529m,1691f
913,3530m,3180f
914,3532m,708f
915,3537m,2590f
916,353m,1711f
917,3545m,5308f
918,3547m,848f
919,3551m,3990f
920,3553m,293f
921,355m,3416f
922,3560m,2290f
923,3568m,4920f
924,356m,3993f
925,3571m,956f
926,3573m,1632f
927,3574m,4306f
928,3576m,4464f
929,3576m,5352f
930,357m,6738f
931,3581m,4152f
932,3584m,7220f
933,3586m,424f
934,3587m,2466f
935,3589m,4279f
936,3593m,230f
937,3594m,632f
938,3595m,3176f
939,3600m,4950f
940,3604m,2143f
941,3609m,1100f
942,3614m,2649f
943,3614m,7306f
944,3617m,4944f
945,3622m,5304f
946,3623m,1850f
947,3625m,1848f
948,3626m,1040f
949,3627m,4647f
950,3628m,4149f
951,3631m,3205f
952,3636m,3391f
953,3638m,1286f
954,3640m,2690f
955,3642m,2090f
956,3646m,637f
957,3647m,3561f
958,3654m,2528f
959,3658m,6320f
960,365m,4762f
961,3660m,4225f
962,3662m,3435f
963,3667m,4421f
964,3669m,1269f
965,366m,2131f
966,3674m,3318f
967,3677m,3572f
968,3678m,5336f
969,3682m,1708f
970,3684m,4608f
971,3685m,3405f
972,3686m,5288f
973,3687m,3031f
974,3690m,2388f
975,3697m,677f
976,3700m,1865f
977,3702m,3209f
978,3703m,3275f
979,3705m,1046f
980,3711m,3632f
981,3712m,4717f
982,3713m,5326f
983,3713m,1072f
984,3714m,4219f
985,3716m,4007f
986,3718m,1534f
987,3722m,6328f
988,3723m,4825f
989,3727m,978f
990,3728m,614f
991,3730m,60f
992,3731m,1992f
993,3732m,1657f
994,3734m,5389f
995,3735m,2310f
996,3741m,564f
997,3742m,2884f
998,3746m,6027f
999,374m,2217f
1000,3756m,1754f
1001,3760m,852f
1002,3762m,3217f
1003,3762m,3846f
1004,3768m,3179f
1005,3769m,4704f
1006,3770m,541f
1007,3770m,2318f
1008,3773m,438f
1009,3773m,32f
1010,3775m,4813f
1011,3776m,1998f
1012,3781m,4668f
1013,3782m,3344f
1014,3783m,241f
1015,3785m,3206f
1016,3788m,383f
1017,3788m,1304f
1018,3798m,5347f
1019,3799m,4699f
1020,37m,5338f
1021,3800m,2095f
1022,380m,2635f
1023,3811m,964f
1024,3813m,578f
1025,3814m,1694f
1026,3819m,1037f
1027,3824m,1362f
1028,3825m,4828f
1029,3830m,3238f
1030,3835m,4307f
1031,3840m,3672f
1032,3841m,1131f
1033,3844m,3821f
1034,3848m,3826f
1035,3854m,862f
1036,3857m,3389f
1037,3858m,2517f
1038,3863m,5280f
1039,3864m,1914f
1040,3867m,2656f
1041,3868m,4194f
1042,3869m,1618f
1043,3870m,463f
1044,3870m,4615f
1045,3873m,2763f
1046,3877m,5325f
1047,3879m,4183f
1048,3880m,955f
1049,3886m,807f
1050,3889m,2669f
1051,3889m,7700f
1052,3890m,2652f
1053,3893m,5334f
1054,3897m,1789f
1055,389m,892f
1056,3900m,3150f
1057,3903m,5319f
1058,3907m,6031f
1059,390m,3845f
1060,3914m,644f
1061,3916m,1517f
1062,3919m,3851f
1063,391m,117f
1064,3924m,5636f
1065,3926m,3827f
1066,3927m,6032f
1067,3929m,4679f
1068,3930m,2042f
1069,3933m,1277f
1070,3935m,847f
1071,3938m,3683f
1072,3945m,3883f
1073,3945m,3831f
1074,3948m,1413f
1075,3949m,4061f
1076,394m,2987f
1077,3955m,512f
1078,3959m,580f
1079,3961m,2806f
1080,3962m,4284f
1081,3963m,178f
1082,396m,3738f
1083,3970m,3968f
1084,3977m,2720f
1085,3978m,908f
1086,3985m,362f
1087,3986m,5036f
1088,3989m,4780f
1089,3995m,4574f
1090,3995m,6554f
1091,39m,4474f
1092,3m,4339f
1093,4000m,2457f
1094,4000m,1634f
1095,4001m,7405f
1096,4005m,1109f
1097,4005m,849f
1098,4006m,2616f
1099,4008m,5329f
1100,400m,3509f
1101,4010m,1716f
1102,4014m,5327f
1103,4019m,4858f
1104,4020m,5565f
1105,4025m,2315f
1106,4027m,4945f
1107,4027m,1109f
1108,4029m,4150f
1109,4030m,3846f
1110,4031m,3351f
1111,4032m,1832f
1112,4035m,3438f
1113,4036m,3499f
1114,4041m,5296f
1115,4043m,4405f
1116,4049m,798f
1117,4053m,1687f
1118,4057m,5564f
1119,405m,4926f
1120,4060m,3124f
1121,4063m,213f
1122,4065m,895f
1123,4066m,4198f
1124,4071m,7313f
1125,4077m,2020f
1126,4078m,5052f
1127,4085m,3161f
1128,4098m,3668f
1129,4099m,2706f
1130,409m,4918f
1131,4100m,2508f
1132,4103m,3534f
1133,4104m,4599f
1134,4105m,613f
1135,4106m,1895f
1136,4111m,2138f
1137,4112m,1954f
1138,4117m,350f
1139,4117m,7795f
1140,411m,4222f
1141,4120m,3710f
1142,4121m,4076f
1143,412m,3259f
1144,4135m,2585f
1145,4136m,4703f
1146,4138m,4391f
1147,413m,1233f
1148,4140m,7125f
1149,4144m,28f
1150,4145m,4701f
1151,414m,5766f
1152,4153m,6322f
1153,4159m,4870f
1154,4163m,597f
1155,4164m,772f
1156,4167m,3757f
1157,416m,47f
1158,4170m,566f
1159,4177m,1931f
1160,4178m,607f
1161,4182m,4923f
1162,4185m,988f
1163,4186m,1395f
1164,4187m,2157f
1165,4188m,2855f
1166,418m,952f
1167,4192m,77f
1168,4193m,3246f
1169,4197m,2352f
1170,4199m,1987f
1171,41m,622f
1172,4200m,4954f
1173,4201m,3044f
1174,4207m,4577f
1175,4209m,57f
1176,4212m,4181f
1177,4217m,4563f
1178,4218m,2667f
1179,4227m,1370f
1180,4231m,6647f
1181,4234m,2897f
1182,4237m,1236f
1183,4241m,2218f
1184,4251m,1999f
1185,4252m,4139f
1186,4255m,4741f
1187,4266m,3950f
1188,4268m,4812f
1189,4280m,3852f
1190,4283m,3559f
1191,4285m,191f
1192,4289m,402f
1193,428m,2046f
1194,4296m,107f
1195,4300m,819f
1196,4301m,4863f
1197,4302m,97f
1198,4305m,3404f
1199,4308m,693f
1200,4316m,144f
1201,4318m,5307f
1202,4319m,909f
1203,4320m,2503f
1204,4321m,655f
1205,4327m,4299f
1206,4329m,549f
1207,4330m,2789f
1208,4331m,157f
1209,4332m,3876f
1210,4332m,4481f
1211,4334m,3420f
1212,4336m,4083f
1213,4338m,4683f
1214,4340m,1934f
1215,4348m,3040f
1216,4349m,3230f
1217,434m,6837f
1218,434m,2305f
1219,4351m,4415f
1220,4355m,3165f
1221,4361m,1441f
1222,4362m,3374f
1223,4363m,5324f
1224,4364m,1304f
1225,4366m,1874f
1226,4367m,114f
1227,4370m,3915f
1228,4371m,4502f
1229,4373m,2063f
1230,4375m,4853f
1231,4377m,439f
1232,437m,3353f
1233,4383m,5728f
1234,4385m,2783f
1235,4387m,491f
1236,4387m,2270f
1237,4389m,1528f
1238,4397m,136f
1239,43m,3544f
1240,4400m,3583f
1241,4402m,2437f
1242,4406m,3943f
1243,4408m,1647f
1244,4411m,3973f
1245,4413m,5300f
1246,4417m,2619f
1247,4418m,2055f
1248,4424m,482f
1249,4425m,4796f
1250,4427m,3169f
1251,4434m,131f
1252,4436m,2415f
1253,443m,1198f
1254,4441m,3725f
1255,4442m,4016f
1256,4443m,46f
1257,4445m,29f
1258,4449m,692f
1259,4457m,2952f
1260,4459m,5352f
1261,445m,521f
1262,4460m,1542f
1263,4461m,1936f
1264,4463m,375f
1265,4463m,4423f
1266,4465m,4882f
1267,4467m,1701f
1268,4468m,3923f
1269,4469m,751f
1270,4476m,771f
1271,4477m,4158f
1272,4479m,2924f
1273,4484m,1377f
1274,4487m,2598f
1275,4493m,3284f
1276,4497m,3823f
1277,4498m,1785f
1278,4499m,3832f
1279,4500m,2537f
1280,4506m,4590f
1281,4507m,2450f
1282,4508m,2932f
1283,4509m,169f
1284,4511m,3136f
1285,4512m,4165f
1286,4516m,3112f
1287,4522m,2605f
1288,4523m,4196f
1289,4524m,1335f
1290,4529m,2844f
1291,4529m,3906f
1292,4530m,4382f
1293,4531m,5853f
1294,4533m,171f
1295,4535m,780f
1296,453m,4238f
1297,4541m,4287f
1298,4549m,1287f
1299,4552m,4446f
1300,4553m,4354f
1301,4555m,2730f
1302,4557m,3787f
1303,4567m,5367f
1304,4568m,3384f
1305,456m,4226f
1306,4572m,1454f
1307,4576m,2714f
1308,4579m,1459f
1309,4579m,1026f
1310,457m,4760f
1311,4581m,5027f
1312,4583m,1847f
1313,4589m,2516f
1314,4589m,564f
1315,4594m,4079f
1316,45m,7407f
1317,4602m,3527f
1318,4603m,3861f
1319,4604m,3744f
1320,4605m,6130f
1321,460m,3991f
1322,4610m,1784f
1323,4611m,352f
1324,4613m,392f
1325,461m,1613f
1326,4628m,1140f
1327,4633m,4749f
1328,4634m,322f
1329,4638m,2784f
1330,4640m,5276f
1331,4642m,5345f
1332,4643m,4656f
1333,4646m,5291f
1334,4650m,937f
1335,4651m,3666f
1336,4653m,3487f
1337,4658m,316f
1338,4659m,224f
1339,465m,3497f
1340,4660m,1417f
1341,4665m,5566f
1342,4665m,7915f
1343,466m,1350f
1344,4674m,1029f
1345,467m,4359f
1346,4681m,4777f
1347,4684m,1208f
1348,4687m,195f
1349,4688m,3191f
1350,4691m,3579f
1351,4695m,1030f
1352,4695m,2239f
1353,4700m,2070f
1354,4709m,4537f
1355,4710m,489f
1356,4711m,4073f
1357,4713m,2595f
1358,4718m,6832f
1359,4719m,3706f
1360,4721m,5349f
1361,4725m,1230f
1362,4727m,3111f
1363,472m,4764f
1364,4730m,1599f
1365,4732m,2570f
1366,4733m,1952f
1367,4739m,4550f
1368,4740m,3479f
1369,4742m,3696f
1370,4745m,2454f
1371,4747m,1611f
1372,4754m,2550f
1373,4755m,3751f
1374,4756m,397f
1375,4758m,4123f
1376,4765m,5977f
1377,4767m,3701f
1378,4769m,2231f
1379,4771m,528f
1380,4774m,4380f
1381,4779m,4554f
1382,4781m,507f
1383,4783m,410f
1384,4786m,3582f
1385,4789m,752f
1386,4794m,3972f
1387,4797m,3792f
1388,479m,12f
1389,4802m,976f
1390,4805m,1739f
1391,4806m,3872f
1392,4814m,5379f
1393,4815m,4235f
1394,4816m,3987f
1395,4817m,4996f
1396,4819m,898f
